Curator Address,Curators Name,Collection ID,Collection Name,Collection Items,Timestamp,Collection fee,Paid fee
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x48b0d5544dc0d9bac7507cc65dc7e7f63814222c,Doki Kicks - 1st Star Edition,1,1644877195,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0xa910e8d6ed34caf4cc8ab9f1897d1233d82b2290,Roustan Aviator Shades,1,1644879774,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x1aeb7d9536193a3a25c74d462ec2dc88da9e50dd,Golfcraft Doki Hair Set,5,1644951717,500.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x1091adb899c73075af0e5742d2aa24fd35a7cefd,Doki Doll Face V1,1,1644952522,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x3066a7b41280a8277050d6e7e15db18e3f97db5a,Hippie Wings,1,1644954066,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x4759c16a90e50bb47c39fef6e86ebd5863a63caa,Adam In Love,7,1644955292,700.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0xdf60e4f253003b01f8c6863a996b080d0a9f03de,Bufalo Cowboy Trench Coat,1,1644956600,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x3f04562b1e169e5149dec8f63a77e9533c7d3f85,NEO ROID,1,1644958994,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0xb17bb4272cd71a06ff3c88670802d50a273a4a44,MetaFannyPackz,4,1644979634,400.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0xc9fd40208b0bae4ffe33eb49bd060b0d9530e28e,Ascension Hair by Paladín,1,1644982551,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0xefbcb136c6597b0685d373ba92c98a429d3940d1,Funky Fungi Collection 1,2,1644997307,200.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0xa02c52939c8fd8fa576343abce3aa30c30dbd8c0,Be a Unicorn,1,1644997671,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x62f760d121c5bb2dee0fbc6c428fe2f3dd8220b9,Xolo Evolution,3,1644999862,300.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x718d2d89d4b9fb1e67eca197b9bcdeb6602b9d62,Aztec Xolo Warriors,3,1645000986,300.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x285ca35b7fe7ac958e7fcc8c8ae666d1e30c5c5c,Follow yourt heart,1,1645002030,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x9ba49dd0292c69cdf4819107099537e08165be6b,Low Poly Models Skins,2,1645005135,200.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x3fae9e1ffd7223c3ee4da6e8205b7f5054d614e3,Epic Ninja,1,1645006469,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0xf617df01f25723f410136c2ab63674751cf2990b,Metafox Golden Boss ,1,1645007315,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x9c4ed6a08dcdd1d63cc456cd20472a5d635496b3,Higher Life Beenie Wear,1,1645007903,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0xfdbf48a97918cf4936ffad157e53728ac150d7e9,MetaBikers,1,1645013343,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0xacf2512050e9054f3fe2b7008c1887adef038636,Fusion Wear,1,1645031001,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x54b7cb32844c7e10af9487bd5c3ff0ba1cf11e34,Day Of The Dead Weed Aura,1,1645032309,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x2b054ecbe524de08341b104e2fcb0273d95cda17,Alpha Angels,1,1645033031,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x74a680dc67a680f2ad7bcc558a2c0c6cf6db030f,Sphynx Cat,1,1645033445,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x5343af57a265ffd9b64762d692528b87c1286053,DJ T RAX Collection,1,1645036531,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0x64a3ff79e11da65d39a422b217f627927cea5a52,Enter the Dragon,1,1645070203,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0xda3bb9ffbe86e68b4a1f0c2d823d2dd658dba9c0,Meta Kicks v3,1,1645162024,100.00000000,10.00000000
0xc8ad6322821b51da766a4b2a82b39fb72b53d276,Grimey,0xffe2958d1fb73533e107f1889d31e3a9d93d68c2,Phetta From Phettaverse,1,1645172277,100.00000000,10.00000000
