Curator Address,Curators Name,Collection ID,Collection Name,Collection Items,Timestamp,Collection fee,Paid fee
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x4cd2a77c2f4b913acf73b03140101a8af4d5ded9,Daddy Chang's Unique Gear 0,1,1624279649,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x53c1bde32d0fd33ca87b6c30fc32e66fa8888598,Hiroto Kai Ceremonial Kimono,1,1624451549,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x66194b1abcbfbedd83841775404b245c8f9e4183,CCC - Gray - Drop #1,3,1624457607,1500.00000000,150.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x65c2a90a3a2192eaaacc797208c993ed410ff695,CCC - RED - DROP #1,3,1624457793,1500.00000000,150.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x811d8f585f841f0adb345c7e2418261df3fd1d50,CCC - BLUE - DROP #1,3,1624458010,1500.00000000,150.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0xb2dff92fc4c31f5bd89767876ac981faf9e576a9,Knightly Helmet,1,1624884055,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x0f424a0150e50f26b45aec0c3d6a2acb36e9a436,C5 Gallon Cowboy Hat ,1,1624884589,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0xe8dc4df27e76b65f6b8d13821121aa710d03cf6e,Daddy Chang's Unique Gear 1,1,1625062157,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x3a1d3a7ee10c3ece542bc9dcef7819a836d0d172,Orange DAO Hoodie,1,1625065611,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x395b54ec795544c24bd595cb662fa7ce52426e1d,Hiro x Bob - Ether HeroBit,2,1625229462,1000.00000000,100.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0xf60ad515b3dd3a4ad232011697b25dfc1535ecbe,Neon Nights Blazer,1,1625491847,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x949f3007a1c2fd462113cd742c96c662dc2f50c4,TrustSwap 2021,2,1625498237,1000.00000000,100.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x8b6e9b92cdf7ddc63a12118e3f155f4928614b71,NFTBox - Pranksy x DappCraft,1,1625580838,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0xabb0ca6ee85825f6d7f549ef36bf571484c157c5,Hypno_TV,1,1625605104,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0xa674686f0f9a10bc5b19818845c1cb47bcb54fe1,To The Moon Festival 2021,4,1625957083,2000.00000000,200.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x6b86da40d58c1905fa904907808cd2cb4d417d63,Slumdoge Swag Drop #2,1,1626194839,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x5fd288ac5fb80fca3fe41ff98d21a4a056869de2,Notsanta 1 of 1 ,5,1626195131,2500.00000000,250.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x409ce015d5b90c52fb544c0f950420b6dcae2961,Fire Warrior Katana ,1,1626195409,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x525b5590178efb7c9bb59ff85dd689d27ef5059d,Daddy Chang's Mythic Relics 00,2,1626209317,1000.00000000,100.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0xf16ff41128b298304b761b49c1c56580972ada32,DG Accessories,1,1626439793,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x0a04d86536aff5ef0b8b1931e42cdcd1ae7d00b0,Big Mouth,1,1626440565,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0xb7e350f5be189c405cfa707ce1b86bc614ac8092,WonderZone Dragon Rider,5,1626445230,2500.00000000,250.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x1e3506f47998d8c3da19bf1552c9db43735e5109,Blacknode Helloween Ryuk,3,1626700588,1500.00000000,150.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x08630d0af507b91502cc272f9216cc6a6ebc297c,ArtWalk's DrG x Stoney x Hiro,3,1626784941,1500.00000000,150.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0xa1e2f2a99f9ea8f9e92e81842470e9e0041428b8,Apollo 11-52,7,1626813716,3500.00000000,350.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0xa8202f699c978220bc5fc11c1973f7b503a27a0d,Gwallaby's First Edition,1,1626879551,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x388323ad9a9da54a8581214a471040c66c6b7e5c,Horns Of Wonder,6,1626881869,3000.00000000,300.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x5653d0ac8951d0b8047b8e01afea3f71697936bd,Angels & Demons I,2,1626882425,1000.00000000,100.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0xd44abc3d95d1583d30715d458eb92184c6ff1cfa,"Hiroto Kai's ""The Blue Dragon""",3,1626886533,1500.00000000,150.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0xf1ec64da82847bc0511c23d16794bc7e1683731f,RTFKT AIRDROP 1,6,1626891555,3000.00000000,300.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x326a0cb099d497b619daf432cda56a5479841cc2,Alison Wonderland Cloak Genesis,2,1626902378,1000.00000000,100.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x93cad133677c4916bdd2f7945ad3183dc40fb4ec,Alison Wonderland - Metakey,2,1626902452,1000.00000000,100.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x1b855e715f38b64f08970231a7a83bd2b94135d5,SpanishMuseum Morrion,1,1626964800,500.00000000,50.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x4ea1cfe9e8ca641fbe362469f79029a0eaa6a996,Sacred Kimonos,4,1626969714,2000.00000000,200.00000000
0x7a3891acf4f3b810992c4c6388f2e37357d7d3ab,JP,0x40b244c0ef698f1fa6a6963770ca891df98fc0a9,Collection XCOPY,4,1626969798,2000.00000000,200.00000000
