Curator Address,Curators Name,Collection ID,Collection Name,Collection Items,Timestamp,Collection fee,Paid fee
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0xac932751992fe921f9d3944729d204491278dd64,Metaverse Elite Armed Forces ,5,1644888602,500.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x8097bffe7c26bc114a136128163b823149c6ae71,$WCM shoes and ski mask,2,1644889745,200.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0xe2cc7deee642f1e527c2719d79c694cf95d73b8c,Metaguardians Helmet,1,1644891345,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x67acbe39fb497e56e7ef1840f441ad6b7de090b7,BTC AF1s,2,1644891867,200.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x6aa6f1473f0b0d93ea66fac155ecbb2828249524,Cyber Rabbit,1,1644910510,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x42a7ec7dd3ebbf25f29d2edfdfa1a44700e90651,ASHxox Store,1,1644911043,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x68f9c3dd0366b18f5fd20f76e754cedea562bcc3,Dragon -Cherry Blossoms-,1,1644945026,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0xa1d9482c8ddcbc7d1bf3f787c5194bfad95e9507,snowy by Tobik,1,1644968931,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0xf9bc8d7c3246ec6e2c9bbec034e7223ac08f1708,KAZUTO Drip Maxx Neon Nightz,1,1644971654,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0xcd50f1aa779c6176a219a7138ec56a6ba25485fa,CryptoGlider,1,1644997443,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x78a268c4662f2993b23569ed32244906f7f2bd50,Blazin Suit,1,1645004391,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x5dfc17529b5b4e4ecba66271f276f1642113f168,Blazin Armor - Ember Crown,1,1645004771,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x71dcb50f861217b02512431e4f325104f19a8e28,Mardi Gras by Mana Witch,5,1645045971,500.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x90470b46580e423ba1556236e4ffbc15963aa09f,WIZ-GARB II,4,1645047336,400.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0xa3bb81062093e18bde355c74383fe43f7ac5206e,Blazin Armor - Ember Mask,1,1645047956,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x3743bd99ece00f68fe0c141540311c35e9459593,Beach Bodies Lifeguards,1,1645055644,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x93dcafee005a023b9fe5b34b71ab696bea4d665e,Hologram,1,1645079916,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x39056796acd7c31647a701fa13c5bb382f9de29b,Elyn KD,1,1645131430,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x5a95c58a613b014f2e82cbf5b7fe44038e91fe02,IOT Cap 'n' Hoodie,1,1645131814,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0xfd93119a6ec3817a56170747b57853fb56131388,Weapons of Glory,1,1645132419,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0xc642e5f452ab9e573fe4f642697d56ce2ca29d8b,Kimono_world -red-,1,1645132818,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x7df8d865690f37b9af131c42915706e4b256a9bd,Exotic Centaurs [Trendscrafters],2,1645135254,200.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x8b617ad31f6d0ba545d67f82fe7be5f39dcfc1a6,GALAXY'S,1,1645146902,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0xeecf003bc52574cbc8630ca882973688fdd28357,WIFU,1,1645172963,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x7549604ee199c5983068e552b4fd13fabffb3b7e,Bitbones Nemesis,1,1645409434,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x17cff0e45eeb3d7e48b937c4e751dd548495c07d,Neon Party - by Cielo,2,1645423929,200.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x0b53dde55fbd1f95ea292cc7e9d62e070e8d7437,TEMPLE MEMOR!ES HOODIE,1,1646259021,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0xeb2200eac636fb6ba41fd3cbb6538327ef32aa3b,METATIGER DaddyCool,1,1646261002,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x822deba2c8f763b5c927afd53ff84b4c894f9bcb,Virtewel x WaltAdler 2nd Collab,1,1646261365,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x5af181025fe611cb7fc217061fbb30bbf9c23bed,Modz wear 2,1,1646261809,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x9f4801f03e90ac653a3fb37f683f5541c21ce0b9,ninja_V,4,1646533773,400.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x876a267aa0fb34fa58e04b4196c7c003f0f00ad8,StoneyEye Roots,1,1646882664,100.00000000,10.00000000
0x470c33abd57166940095d59bd8dd573cbae556c3,James Guard ,0x217ec5306a3c0d9f3ae9a151259b146cafa24a0d,Rhythmical Meta Crew,1,1647483336,100.00000000,10.00000000
