Curator Address,Curators Name,Collection ID,Collection Name,Collection Items,Timestamp,Collection fee,Paid fee
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0x08247a63a38c52bf5612ebf6fada5bb8f494e8b8,ICE Crowns,1,1636323878,500.00000000,50.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0x69f75bc12439c0d8dc54ef24baa0406421a0f6a5,Royal Hearts,1,1637098804,500.00000000,50.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0x36e94d12899317dc792e558f993213eef9b85c78,Cyber Oni Mask,1,1637099214,500.00000000,50.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0x289f3374440eae1224910bad726b6421fc0be66d,Santa hats,1,1637322587,500.00000000,50.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0xf3cae1159280462fbd556d6133977d91f18c5529,Sushi Sneakers,1,1637496869,500.00000000,50.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0x328e12354a5956fff998da20f65c679b1cebb0d0,Party Animal Sunglasses,1,1637511097,500.00000000,50.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0x27c474895ee6bb20deb00a4f7b2d63bc3ff09bfb,Hater Blockers,1,1639517183,100.00000000,10.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0xe3d2c4ec777fb88dd219905cd896f79a592adf30,Flat Hat,1,1639569803,100.00000000,10.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0x0ffa97a13a8c342259619ee06e3320a6bd55c0d5,Stoney Collection,1,1639670326,100.00000000,10.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0x966c39e367c3276a7142a7368f81aceb7f804243,Marionette Collection,2,1639685246,200.00000000,10.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0xc717713847161131034deb6b7b907e35f2452dd1,Dragon Kite,3,1639728274,300.00000000,10.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0xf912266e1d3760f1b7e7c0b3e1a70134dcc87849,Nordic Style,1,1639732314,100.00000000,10.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0x2f6763f3240ab1510562c5e40a3d03378a5c9afe,Vertualize it!,1,1639751342,100.00000000,10.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0xa71f0d4bc14f1f528cb26b0123d27793dede5383,DCL Mecha Cupid,2,1639751964,200.00000000,10.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0xfbaa98691eeddc11103d053de8e3f5a1b6f08e76,Wings,1,1639752727,100.00000000,10.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0x49cf3172fc1fbdb8f1e7d825a8d7d57150b303f5,The Last Halo,1,1639753481,100.00000000,10.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0xcac355d968920d4e009a78c95237e2ae51c506b3,Rare Weed Wings by Kandy Girl,1,1639876250,100.00000000,10.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0x29470eea1ec37f25669879d0aaf9bebcaf0f92c1,#Monster Hall,3,1639916798,300.00000000,10.00000000
0x5d7846007c1dd6dca25d16ce2f71ec13bcdcf6f0,Lau,0xeac94d501df21d4e45e9db57f3db9cc1c2c588fa,Vertual King,2,1640170391,200.00000000,10.00000000
