Curator Address,Curators Name,Collection ID,Collection Name,Collection Items,Timestamp,Collection fee,Paid fee
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x25106af3d2f97f2ad26464d9f032fcfa45e82118,Earrings,1,1633087154,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0xcbc4b2af3622afaf8aa544b87d9341d42cd4d878,Sannin's Mummified Ninja,2,1633117058,1000.00000000,100.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0xa497d16f82a63c29a38f43e82c543aaa80ececf3,Jess Star Effect,1,1633467464,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0xaf9ab91bfb61323fef9871332cb42def22099391,Tempel Tuttle City Boots,2,1633536278,1000.00000000,100.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x881c86b2bc62198d7644962848671c982bbc4f7f,PopRoXxX Party Mask Collection,1,1633537444,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0xc25744bed31b2ae67e349a8ef59dfa48e064140f,DG Joggers,1,1633552839,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x875a20763298907d3e21114620bf4182c00cb08c,NEKOPhones,1,1635254397,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x53f4265fa1325adb3bbe2ee1407b156bc977f9e4,PopRoXxX Legacy Collection - Hat,1,1635262529,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x8a3448e1e5ebae5eabd47407ec5b5f508cc4f39b,Golfcraft Team,1,1635280459,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x6380379c21d6e995d5bc37ee0f467deb0d32bd3e,The Surgeon X Phil Ivey Sneaker,1,1635330666,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0xcc9cebcdcc664348fd65d0319f13052b84acc51d,pm sneakers,1,1635344829,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x37dfe20206d8e6315f0e371e18c845b400d83e40,DF Wearable S1,1,1635504673,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x4f5c27a900ebd6b854ac193432a75d514f507270,Changster Drone 1,1,1635608273,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x87a0d434adb1d827c83ba8df8e3327e2b43f24a7,Playboy Bunny Ears,1,1635619505,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x914eb0021f9e1d5c900a9284d5bdf140f6a4231d,We Are Gonna Make It !,1,1635802909,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x1010900618c0706a5ba1003bcf0be05bf1f9cf19,Fairy Little Waifumon ,1,1636489909,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0xd3189c73241ef3a34757515c90ba9975a0a95cb0,PETAVERSE Originals,2,1636496439,1000.00000000,100.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0xcdd46e089876f0e6b1251c4d2a87b31161395fa1,collection#001,6,1636812934,3000.00000000,300.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0xd07a56f7198ae6e4e3d6738bd8c4b81d21bf0403,ICE Bomber,25,1636837093,12500.00000000,1250.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0xa43ece0f108d4816aa8f5fb267d17a5be3efcb63,caste collection,1,1637062655,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x0a7c18f4f3e62044e3dfed2aae580c66a2e37677,Altcoin Aviators,1,1637589229,500.00000000,50.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x93d2c265957cd7924260193c288a8ecfc785c0d1,DG Holiday Sweaters ,5,1637802139,2500.00000000,250.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x6da5a89ce1f9af2f60ebfbce0825ff958872acce,The Wonderquest - Quest #2,4,1638188503,2000.00000000,200.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0xf9dc839e0629f04f0bb0d6c027bb7f271117dc46,Backwards Hat,1,1638300885,100.00000000,10.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0xffd79018292eac548cc4d110930361ee3e682540,Butterfly Updo,1,1638744313,100.00000000,10.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x7273dee88bea1f99dbb4585d891f275921d3696c,AO,1,1638746095,100.00000000,10.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x897243a54b03b46a17b55d5609465e9719a6ffa0,ICE Crypto Drip,25,1638791150,2500.00000000,250.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0xc6db486eb91d92532baa47b33fcccb515c0e7d9d,Ancient Astronaut Collection,1,1638969143,100.00000000,10.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x3bc8ffb0cb76acf992772b578fb0617d8524c935,First Earrings,1,1639070649,100.00000000,10.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x651fa103e616bfca36523ab2c1895c40d1853bd7,Wonderzone X-mas Collection 2021,4,1639316263,400.00000000,40.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x5a6a54d376589b03aecd18c8a7de7bcd0c80fc40,Sannin's Mummified Sword,1,1639333498,100.00000000,10.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x7d9f9b71f23017d1d4d7dad5fa18c2411ed30966,Dark eyes,1,1639333888,100.00000000,10.00000000
0x82d54417fc69681dc74a6c0c68c6dbad5a2857b9,Malloy,0x25bb3d2856169248b4a21dd7500eed156e5e893b,HirotoKai x PB,1,1639526468,100.00000000,10.00000000
