Curator Address,Curators Name,Collection ID,Collection Name,Collection Items,Timestamp,Collection fee,Paid fee
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x28bf90fe4bfe15d29253019edbc8e2f41ccbe1ba,MWDxCCC Collection II,1,1644890308,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0xa6429bf1ca4c3b7943d7825cf08f705589bfe301,MetaSmokers Exclusive Cigars,1,1644891787,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x496ec198ea4c328154a0751f89e48c72cdd3b493,Emerald Sun Warrior ,2,1644892234,200.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0xf899b2996680e3e41d35ac92d1f6f903284c6398,MetaSmokers Braided Joints,1,1644892676,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0xc383b144624952c37e0a159bc7d3f628f1b489dd,Eggsitus,1,1644894100,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x1ee73ae89595c1ff6208ebb41786835f48714596,PepeUnaGoods,1,1644895225,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x1ca493716cbdf584a6f70d99f3d0d339c4466c23,BrOKen,1,1644896859,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0xba90b0ccd6c17a1992135abb39247e9da144a3c1,IG ICED TUX,1,1644900408,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x0d56b429f93f34468b41606b956d042108ccb238,HODL VUITTON T Shirt Collection,1,1644901578,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x8a512ab2580533a265af4b124bdf62152032066a,Paper Boat Hat,1,1644903032,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x89dd636dd4efeede5a41d69685a19194bf62f5f1,Tiny Fly Kingdom,1,1644903882,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0xc494f4cdcf95de946a3e36d4cee7baf9c87f08de,Punk Hat,1,1644905015,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0xd357aa426bb8354fcdd4359e1acf03697e591601,GG Gold Cowboy Boots,1,1644906961,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0xd0f9d3afb1c0e11996072a79f83fcb5839c32d10,HEXROID,1,1644909535,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x320a144099546e6561f4747686f79ec6a5c24e27,VroomVrooms,1,1644911856,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x792545685e04d4c2524c34b76fae9e61fc736af9,Rock Sh!t By Unfortunate Origins,2,1644938376,200.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x8bd5ec794d177f117b64d868cccc4ab91d40ceab,HODL VUITTON Track Suit,2,1644941164,200.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x4ff9fb4e905a87bf4de78752f8a15365825a06f6,HAVE A NICE DAY,1,1644941891,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x95aa33e8f732b07bf8bff1591ec2aefb9fad941c,Decentraland Sasquatch,1,1644942360,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x186c788f9c172934b790b868faf3b78b84e34e89,Bear Love,2,1644983363,200.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x9089eea7f0baf61b2edb8a316ab6d3cdfe8558c8,Exo Soldier,1,1645015115,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0x67a697ee5a14d5bc6365785f91d8e9183ad78a06,We The Best Wearables ,1,1645015743,100.00000000,10.00000000
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0xe59e715c60b4ce733943883ab8679ec336364dac,ToonToonToon,1,1645019454,100.00000000,10.00000000
