Curator Address,Curators Name,Collection ID,Collection Name,Collection Items,Timestamp,Collection fee,Paid fee
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x976a585cc90ca023aab09ee0eab562b8be717e0d,Bitpr0 Poker Line,3,1644876533,300.00000000,30.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0xff5e011f4e636b08ade4e8eab8c690230476e6eb,Pirates,1,1644878437,100.00000000,10.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x1415f178fa9e4393f7b03a4561469753e5f9ae2c,Tokusatsu Rabbit,2,1644879522,200.00000000,20.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0xc5fe05135ca1a9ba9c54f3524c482a3d186ca57d,Mr. W & Mr. J  Wizard Collection,1,1644880874,100.00000000,10.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x5d977feb9a4c8c2a03a17ab6206500e8baf775ed,JTV's Wings,4,1644882522,400.00000000,40.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x37272e8798415dccfb768f1fcea295d71ca02581,Photographer Avatar,4,1644886736,400.00000000,40.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0xddd7db2c0a9f7570df4d012c1081f9fb792190b1,Champion Smokers League,1,1644888077,100.00000000,10.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x80687f464ae72f718e5c078512df40ba9629d1c9,Yoga Wear by Artemis Moon,2,1644888966,200.00000000,20.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x3e1c64ab59580882642d2fb7ba0fc1c3abd243f0,Unique sunglasses,2,1644889503,200.00000000,20.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x4da989d04eb546b000a12f7cacab01cc0ce04564,Suave chic by Keching,3,1644933942,300.00000000,30.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x59d8a33f5b1a722b91eabd0baf9d2cb77d825b78,The Heart Project x Fred Segal,8,1644938008,800.00000000,80.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0xf5e32000dcd5e17324abd7c55d29a8748df20315,Metaskins X The Holy Ones,1,1644938804,100.00000000,10.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x609f2ab4c8e5edb2232ba118cc86f75528f4fe47,Kandy Girl Hat,1,1644945874,100.00000000,10.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x2793bf3057468258b0bb2af4daf4af3189daa96d,WARRIOR of the MYSTIC KINGDOM,2,1644948244,200.00000000,20.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x2c2a460b7ebb9e1d53439f6e75e192e48a49a019,Me+🌏JAPAN #003,11,1644948981,1100.00000000,110.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x47803ebc74a184ea8dadc2499667dc7440ba711d,Beach Bodies Paradise,3,1644957406,300.00000000,30.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0xfcf2ea9c8be672e3a22979dc1f2e9b8ac295babf,Retro Summer 2022,2,1644958442,200.00000000,20.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x613f564873c38481d136fd2f9f45ee1db5f1a80f,DesignLAB Drip,5,1644965171,500.00000000,50.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0xf3bed743e334b86f3de4d40f50efe6fafe7722b3,Royal Suits Club x DCLRealEstate,3,1644965609,300.00000000,30.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x1b63aab12f6b5562a0388115243ef1aa54a4ab75,Meta Masks,1,1645018816,100.00000000,10.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0xb5bddc1697ca20485278f7c8ca5f735dd1a3e3d9,Astro Gear,2,1645019488,200.00000000,20.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x13473d78d158fb33ddfe5ec643f246d2c28d06d0,DIAMOND CRYTPO DUNKS,4,1645024501,400.00000000,40.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x0aece05f986a3ea7ea7467bf581f43bf61fa7781,Dahlia X M1D,3,1645026231,300.00000000,30.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0xdcc253400b89eddd5cbdd2503544ab613b0fb1c6,META X PIRATE ,1,1645026817,100.00000000,10.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0xb8ac3549d279b26a48d28d161780c39b81fd198b,Metaskins X Holy Ones Sign Guy,1,1645044161,100.00000000,10.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x06350901317394fa9d581d10b4f72910020f337e,TRIUMPH Dusk Wings,1,1645048690,100.00000000,10.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x8fec467b3b4700f4b22c1fe14274d5d6d5370a0c,Metakey HQ Launch Wearables,2,1645049456,200.00000000,20.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0xe6161f07995ebffc22ea28e6d8b2d4d9fe970d01,BATTLE DROIDS - RED SUIT,1,1645053222,100.00000000,10.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x8040df8efbc60fea2723b7e104c0b72d7291668b,JACKET - FCK LUV ,1,1645104039,100.00000000,10.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x71d30bed480f85f7d96f07c8c59c0cc214fbcea7,Pirate's Crypto Bounty Outfit,1,1645104585,100.00000000,10.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x72b091bfd027ec14b60febbf91590a1518914c47,Zixel Launch Party Wearables,3,1645105069,300.00000000,30.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0x4657b34b7a207962de74eca715197b24a7035b86,Higher Life,2,1645105552,200.00000000,20.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0xeb51ad44865c134414a15e820bf687234845f43f,Saudi Man,2,1645109342,200.00000000,20.00000000
0x805797df0c0d7d70e14230b72e30171d730da55e,Previous_Yannakis,0xa47dac2245ff0f62c5393d0cd8717749e0470a92,Bling Bling - Diamonds,1,1645119712,100.00000000,10.00000000
