Curator Address,Curators Name,Collection ID,Collection Name,Collection Items,Timestamp,Collection fee,Paid fee
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0x19fd61e2281cac0ca42ea50a52174f451e966cf2,Kuble Shirts,1,1644914170,100.00000000,10.00000000
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0x5ae2b8c03d0490520b98e234a308e407365439da,Meme Eyes,1,1644916205,100.00000000,10.00000000
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0x81fa7e7a9da05b825e4d9a165516700df4659dd7,CLOUT LEOPARD,1,1644917747,100.00000000,10.00000000
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0xbea09fc38497854c37366e8cce4b180583d1a6be,Diamonds & Sugar,1,1644918823,100.00000000,10.00000000
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0x3c5b16f12fe2d2c48a1e3299aecc64e7b595a93e,Gang™,6,1644919562,600.00000000,60.00000000
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0xcba9c9f9ad8a3810faa218fdfdbe7770f4283e58,GOAT Hoodie Collection,1,1644920176,100.00000000,10.00000000
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0xb6406d10a3efdf5aa36906049b4c8e9b0fec5da6,Highest in the Room // FBRN ,2,1644921560,200.00000000,20.00000000
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0xe835555152bbd516d9b867b2ade4bf3708dace48,Ogre Helmet,1,1644922149,100.00000000,10.00000000
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0xba8dc3b33d464c384f163e80872a1cb0d5b9c76b,Galactic CYBORG Soldier,2,1644925676,200.00000000,20.00000000
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0xcf7f769ea20797f2da34962c72b891e391da8a73,Space Candy Shoes,1,1644935968,100.00000000,10.00000000
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0xb8a19e0b77cd351c568e19bf6897f2344a77e902,OC Cube Cap,1,1644936330,100.00000000,10.00000000
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0xefefba24c627ae8a7494b4306fcc067313d70291,Lycan Jeans Rocker Edition,1,1644939702,100.00000000,10.00000000
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0x0a04cca75b74c69ac5ad2e219d1b9c180d8fc746,MrDhingia,1,1644940754,100.00000000,10.00000000
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0x061fcfe59ad17927cfbd8331d4cd6f199ed3e0e5,Easter 2022,4,1644941510,400.00000000,40.00000000
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0xb5d88c00557c623226dced465d4f6b6d0541a70b,Buy The Dip Hat HODL VUITTON,1,1644941903,100.00000000,10.00000000
