Curator Address,Curators Name,Collection ID,Collection Name,Collection Items,Timestamp
0x805797df0c0d7d70e14230b72e30171d730da55e,Yannakis Old,0x13d0d68659e2fe16baa59e4c5a69a75cedf3691f,Voxel Architects Wearables,1,1658227880
0x805797df0c0d7d70e14230b72e30171d730da55e,Yannakis Old,0x6fffedd4ee8d4a55654a7aacf2ae6c77b132e4d1,Lowe's Open Builder Collection,5,1658247293
0x5e382071464a6f9ea29708a045983dc265b0d86d,Sango,0x55b19d7510eb4c81bbae94f9f0a7e2c07c4e670c,Latino Society Hoodie Summer '22,1,1658259959
0x1dec5f50cb1467f505bb3ddfd408805114406b10,Fabeeo,0x54bc21ea1cd9dbe32f0b38b5db53d9a0207fecfd,Berlin Techno Speed Sunglasses,1,1658331315
0x41eb5f82af60873b3c14fedb898a1712f5c35366,Kristian,0xdd621309d0feb7ce6e70b178903a0e4d8e002e98,QuizZone 2.0 by DAPPCARFT,1,1658487421
0x805797df0c0d7d70e14230b72e30171d730da55e,Yannakis Old,0x8e60eac885ad83f36e45f44d16230ff2b2b2a176,D.I.A Monke Blenderhead,1,1658491845
0x805797df0c0d7d70e14230b72e30171d730da55e,Yannakis Old,0x59706ea1a3f24e5d8b930cc73785befae239a99c,DeFi Drip - 50 Shades of Play,1,1658527382
0xa8c7d5818a255a1856b31177e5c96e1d61c83991,AndreusAs,0xfd519f2d4cfcb553c9b6d88f7c7ea8b30cfe4d42,Pineapple Hat,1,1658559112
0xa8c7d5818a255a1856b31177e5c96e1d61c83991,AndreusAs,0xc659b3fa440ab4a38366799e0288384fdb9a1c87,Geese,2,1658561566
0x805797df0c0d7d70e14230b72e30171d730da55e,Yannakis Old,0xa209253f319d13d88868a9b292b0fc76621c0c12,Cloudy City #12 - Lil Famous,1,1658580700
0x1dec5f50cb1467f505bb3ddfd408805114406b10,Fabeeo,0x689257b9bf1dfaa3ea26447f8bab7ee050485197,Party Wear Set,1,1658596527
0x805797df0c0d7d70e14230b72e30171d730da55e,Yannakis Old,0x50826eb748b1783eefc21c041bf1d1d334f38204,Miller Lite  J Balvin Bodegawear,3,1658611960
0xa8c7d5818a255a1856b31177e5c96e1d61c83991,AndreusAs,0xcecc8e87d9614a8927b01450551ab69baf8bd42c,Y2K - HORUS BOLT,1,1658647051
0x336685bb3a96e13b77e909d7c52e8afcff1e859e,Mitch,0xa8aaceec921ad775b9666dd5e6e1ae4234f05fd3,Hey N00b  // FBRN,1,1658661713
0x805797df0c0d7d70e14230b72e30171d730da55e,Yannakis Old,0xbf82c91a602437f5bc18e16b8f8c2993eae05866,CULT&RAIN CULTR WORLD SNEAKERS,4,1658674460
0x805797df0c0d7d70e14230b72e30171d730da55e,Yannakis Old,0xb6708cfdf47053c1e54aa5a3985f1da1ddc1bcf0,Miller Lite J Balvin Bodegawear,3,1658703643
0x805797df0c0d7d70e14230b72e30171d730da55e,Yannakis Old,0xdb1eeccb2751be7b7d9625a67bf1027a92310de1,CYBERUNNERS #2,1,1658755506
0xa8c7d5818a255a1856b31177e5c96e1d61c83991,AndreusAs,0xc0b2d9cb7de1bce773128c69a1c50e1ab3ac9831,Metaskins X Fira Pants ,1,1658756829
0x805797df0c0d7d70e14230b72e30171d730da55e,Yannakis Old,0xa6d9d74263c828be4adfc903bfc36a8adc3c1d40,NF Studio Series 3,2,1658760081
0x41eb5f82af60873b3c14fedb898a1712f5c35366,Kristian,0x628a93466c33c7190eff60c10198a6def1ae8663,QuizZone S01Q01,1,1658831278
0x805797df0c0d7d70e14230b72e30171d730da55e,Yannakis Old,0x49dd99098b1c9846d5a3b5b082cd60c527495d44,EY TMT Community,1,1658841578
0x805797df0c0d7d70e14230b72e30171d730da55e,Yannakis Old,0x7d7d376eb7063824fbf22bcf2e906326d33595cc,Big Bear Blenderhead,1,1658906055
0x5ce9fb617333b8c5a8f7787710f7c07002cb3516,Yannakis,0x233a0ebc04948ace2348bb7191beee1fb54e0276,KingX | Metaglasses Collection,1,1658957863
